p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.492551465859574,0.911,0.121,0,0,Pf4
0,3.9638760182305277,0.878,0.104,0,0,Trem2
0,3.544483782764023,0.868,0.101,0,0,Ms4a7
0,3.3584323377328498,0.886,0.126,0,0,C1qc
0,2.7928535193701505,0.989,0.23,0,0,Ctss
0,3.126919304726226,0.905,0.148,0,0,C1qb
0,2.5449067376900185,0.996,0.241,0,0,Fcer1g
0,2.3167545234164213,0.997,0.25,0,0,Tyrobp
0,3.091980971120069,0.911,0.171,0,0,Cd68
0,3.1794175134704594,0.869,0.132,0,0,C1qa
0,2.9219171202446135,0.999,0.28,0,0,Lyz2
0,2.77916333113956,0.868,0.159,0,0,Csf1r
0,2.086174856529175,0.922,0.221,0,0,Laptm5
0,3.588624076404456,0.898,0.201,0,0,Wfdc17
0,1.9925097154172413,0.881,0.192,0,0,Alox5ap
0,2.4972755665962705,0.845,0.157,0,0,Aif1
0,2.800224417358881,0.82,0.133,0,0,Fcgr3
0,2.6867328940586015,0.838,0.16,0,0,Fcgr2b
0,3.4366868779715456,0.759,0.084,0,0,C3ar1
0,1.8080680912064169,0.876,0.208,0,0,Cd53
0,3.0027357963746986,0.881,0.22,0,0,Ninj1
0,3.091618294879199,0.744,0.096,0,0,C5ar1
0,2.128951862345164,0.822,0.179,0,0,Spi1
0,2.323041875965549,0.876,0.235,0,0,Ctsc
0,2.790505264398837,0.767,0.127,0,0,Ms4a6d
0,2.455421723652022,0.862,0.224,0,0,Ptpn18
0,2.866142438355773,0.747,0.123,0,0,Pla2g7
0,2.2801951704926875,0.764,0.146,0,0,Clec4a2
0,2.3198585338607907,0.786,0.172,0,0,Lst1
0,2.9080107663361785,0.973,0.364,0,0,Lgmn
0,3.039761567367452,0.701,0.094,0,0,Adgre1
0,2.073581493170967,0.839,0.232,0,0,Unc93b1
0,1.9414668114741778,0.769,0.164,0,0,Ms4a6c
0,2.839348239798703,0.738,0.135,0,0,Mpeg1
0,2.6530975257679,0.726,0.133,0,0,AF251705
0,2.6689364496492507,0.911,0.321,0,0,Gm10116
0,2.008412812397586,0.777,0.194,0,0,Lcp1
0,3.131414775068114,0.694,0.114,0,0,Clec4n
